countNN	distanceNN	percentNN	datasetkey
587	0.09	0.9143	4fbb2379-db6d-46bd-8f0b-4972cb76b188
1518	0.09	0.9063	50de8011-5291-4689-ae08-f35d2d2c17e2
587	0.18	0.8019	517d5eb7-0559-42e5-8b2f-7b4926decd2d
100	0.09	0.9615	518ace5e-0034-4201-8ff3-a482c16f174e
62	0.09	0.8267	51bf6f1f-3e6d-4d8f-bf75-9c05ce29b3f7
234	0.18	0.5612	51cf7c4a-9cfc-4338-9a03-8d49570ddbed
86	0.09	0.3644	528ad5f2-b6d4-4ea6-89a1-ddfafee4ec45
38	0.09	0.95	52e809ec-8487-4e88-8c8d-1c7c14cf11c2
112	0.18	0.4978	53287502-980d-41a8-b9f0-0f3a5bcb6555
520	0.18	0.7591	538c6ee9-eb5e-4420-abca-7f1ec1ed443a
757	0.18	0.8219	54ec89c0-ad08-4a9a-a907-1539e7e7e44b
3348	0.09	0.8907	54facf62-bf0c-43e7-9972-4fdc407fa6c5
634	0.18	0.8035	55a13551-f65c-4f5d-ad36-e0d6cc2cd059
865	0.18	0.7515	55bbcb99-8c43-4d68-add5-abc49d41b16f
39	0.09	0.907	5629f624-487c-4317-bf46-86030aec1468
59	0.09	0.4275	569c824c-ea6d-4314-a77d-0ff238bebd87
79	0.09	0.9875	5712a322-45df-4038-9421-043b802ee333
178	0.04	0.3266	5819973a-017f-475a-9e82-17cee91ccbf7
44	0.09	0.8462	5905769a-49d8-4d49-8fb5-375a4a270ba7
608	0.18	0.8053	592229f9-c3c2-4f2e-96d6-f45a628ee321
44	0.18	0.3188	595a92d2-6ab3-4168-a794-c9465ec4eee5
380	0.09	0.8501	59ffe691-64ad-4472-a46f-6b31ae34d412
237	0.09	0.772	5a058b59-dc30-4b4b-9677-0cea5cdd2704
84	0.09	0.8485	5a1b62b2-4a1f-4404-b481-87836564d4a5
571	0.18	0.7876	5a5e0a14-bb90-4e62-be79-9f5ed7e0b28c
845	0.09	0.9941	5aa17427-58c4-4221-bb6c-20ab297d6a02
84	0.09	0.9438	5b102996-823d-45a8-9fc4-451172e33856
53	0.09	0.6883	5c1f5ba2-91de-40d6-a761-760bf3abd53d
600	0.18	0.7905	5c85ff42-2109-4b81-87da-6d41ab68e369
221	0.09	0.884	5cb593bb-ba38-4f48-b67e-e3907df24b16
637	0.18	0.7913	5cd8ad2f-77f4-43bf-8a7c-3a629a66f457
49	0.09	0.6901	5cf98942-5cae-40a1-afbe-671d20ac358a
440	0.18	0.7432	5d05346f-d7f2-416c-8ee1-deb333cd9b19
31	0.1	0.31	5d06e33b-e884-4369-9a1a-fdc8bfa9471c
5535	0.09	0.9968	5d467c2a-b758-4005-bd0e-9f76fdb4effa
785	0.18	0.8351	5e48d5d1-24fe-4795-bca2-4a03d51e4454
79	0.09	0.8681	5e5ddab0-ffad-4dc1-b095-7d43c6b36bb6
709	0.18	0.8168	5e8f49af-b4c6-42fe-9483-f19207f03aea
90	0.09	0.8654	5e989c66-59f9-4dfa-9c76-d1502d2051d4
362	0.09	0.8744	607e692e-a6af-4721-acf0-61c91950b554
85	0.09	0.9043	60e0dbbd-b3cc-4164-a601-896e111b54d5
43	0.18	0.3258	613ffc66-7180-45db-9415-491abc575b6f
2118	0.1	0.6136	61a9ca38-b62f-11e2-afcb-00145eb45e9a
79	0.09	0.9294	62a52b1b-42ca-476f-84a0-56a6c0cd5a69
45	0.09	0.7895	62b41822-5bdd-4aae-92e5-e013cf3bc8f1
4703	0.09	0.9693	635e4476-f762-11e1-a439-00145eb45e9a
5346	0.09	0.98	635f7b02-f762-11e1-a439-00145eb45e9a
453	0.09	0.6064	6360a554-f762-11e1-a439-00145eb45e9a
196	0.09	0.4876	6361dbf4-f762-11e1-a439-00145eb45e9a
5264	0.09	0.9793	636308c6-f762-11e1-a439-00145eb45e9a
3579	0.09	0.9456	6364371e-f762-11e1-a439-00145eb45e9a
4935	0.09	0.9743	63656de6-f762-11e1-a439-00145eb45e9a
82	0.04	0.5616	63add3c5-6d15-42b2-9e67-f81979c6ef65
132	0.18	0.5815	63b40632-a404-4cfd-af3b-2644a8e77325
333	0.18	0.6755	63e83e52-8b85-498c-8fc7-681725b4afca
589	0.18	0.8135	63e931fa-27df-439a-81d7-c7d1cee50197
545	0.09	0.9545	6445e1ef-2579-407f-9d2c-803a3de4b3da
604	0.18	0.814	65007a3b-c5fe-42b9-a2c0-103b6409b6d0
34	0.09	1	656fa586-ec8a-4d27-aaa2-a54629c82296
65	0.09	0.6019	65a1dc68-3a0d-4813-a193-a0045cf1d4c9
392	0.18	0.6655	65d82ae1-ca60-46c1-acea-acec0f1837e8
88	0.09	0.5432	662a5899-42ba-4ca3-b075-c51d45516ba1
292	0.18	0.6986	663200ed-cfc7-43d5-82c5-9975e6645a0c
44	0.09	0.5946	6640c524-a08f-4a5e-85d3-40b30b7e2135
431	0.03	0.344	66551429-5e35-4848-94f5-b13bcad669a5
60	0.09	0.7407	673b73ba-6a6b-4d84-8b58-50d198bbc684
65	0.09	0.5242	6791fdf5-e9c4-430e-ac48-a5791462a969
102	0.09	0.9273	67c45ca3-0c6c-4da2-a1e8-621ef52bd559
189	0.09	0.4426	67e8af0c-3c38-4c9e-b3cf-e9c5316a8d23
70	0.09	0.9459	67f85ce5-4cfb-45ac-b05f-cac763d0b838
55	0.09	0.8088	67f9f4bd-acfe-49c9-9fb6-124fbb8ec3ee
247	0.09	0.9216	681481f5-6ea7-4095-a015-f4a5be54765c
190	0.09	0.795	68267365-e262-4a39-bf42-64d0eec1ac2b
713	0.18	0.8177	68340cac-348a-4ac9-9d15-6e34139f7df9
408	0.09	0.8144	6867ae37-74b8-43e7-805d-5dac0a6d447e
138	0.09	0.6798	68724de6-4ce3-405e-b76f-f5814712cfb9
608	0.18	0.7937	6897a0a6-e7c7-41ad-b6d2-61b19a2d6b3e
42	0.09	0.56	68ad7ec2-0f89-4d32-9ad2-650c88899eb8
1902	0.09	0.9794	68b9250c-742a-4d20-a388-e385b802bad8
1926	0.09	0.8996	68fa8801-0b3e-400e-afa6-5ad08e0f1e4c
49	0.09	0.7778	6978dbb1-a726-4ad9-b064-1e1cad3bc889
573	0.09	0.9778	6995b180-5755-499d-bf3e-1c8d83b42ac3
475	0.05	0.7027	6a122346-08b9-11e3-ab1f-00145eb45e9a
82	0.09	0.8454	6a36ed65-630e-481f-864e-e06db1f8620b
34	0.09	0.7234	6a981484-3fb0-4202-b3ac-095f07411be7
87	0.09	0.6641	6aa62933-35d4-4e74-af93-0fbc49655547
749	0.18	0.8159	6ab6196f-f71c-44de-b49b-ec16b95ac335
569	0.18	0.8003	6ae0c37e-0ce6-4566-b904-770d22707ec4
147	0.09	0.9932	6bbd9c2d-bde0-4f31-8aa2-287192c5c11b
42	0.09	1	6be61052-e67e-4143-8c1a-5683d4d5da4e
151	0.18	0.5785	6cc34c05-4d27-4653-8989-1dcd48fa1fb2
646	0.18	0.7907	6db59d35-e3d0-4dcd-9526-3fa59c559f5f
109	0.18	0.5142	6e0c591b-8be6-4946-9e56-090037a1d9d0
1759	0.09	0.8336	6e3b0205-06fb-4005-a90c-91b7c70238d1
57	0.09	0.9344	6e6b3b6a-3452-491f-9d91-9ab571dfa03f
108	0.04	0.3158	6ee7a8b4-5e12-4c09-8fb4-106f2bd06965
1035	0.09	0.7372	6f0b28dc-60cf-4378-b0c4-c6c6979ffcbc
46	0.09	0.6866	6f0b2ce0-d93c-4e9b-a4ad-8f623d60bc14
