datasetKey	publishingCountry	occCount	datasetTitle	percentNN	distanceNN	countNN	uniqueLatLon	lastUpdated	numberSampled
07f0789f-c777-4c99-acb3-815c78c7db81	ES	3399	The collection of Bathynellacea specimens of MNCN (CSIC) Madrid: microscope slices and DNA extracts	0.0615384615384615	0.05	4	71	2018-09-13	1000
07fd0d79-4883-435f-bba1-58fef110cd13	CA	176721	University of British Columbia Herbarium (UBC) - Vascular Plant Collection	0.259259259259259	0.02	42	862	2018-09-13	1000
081facf0-b768-41ad-b692-3b30a1bcbb1b	NZ	8478	International Polar Year and Census of Antarctic Marine Life Ross Sea voyage (TAN0802) biodiversity data	0.333333333333333	0.02	19	120	2018-09-13	1000
082cd887-844e-4545-a15e-02578d3a672d	MX	2490	Diagnóstico del aprovechamiento de flora y fauna por los mayas del Ejido Petcacab y evaluación de la cacería y pesca, Felipe Carrillo Puerto, Quintana Roo	0.461538461538462	0.02	6	27	2018-09-13	1000
0835b6d6-ee6f-4c7a-86e7-81a95c313632	CO	1067	Plantas de la cuenca alta y media del río Bita, Vichada (Colombia)	0.4	0.02	2	29	2018-09-13	1000
08360455-914e-4d02-809a-13e3cd8a8d21	GB	28398	Living with Mammals survey	0.106628242074928	0.03	37	439	2018-09-13	1000
08360d4a-43dc-4573-86a2-9695d0ad3c90	BR	2780	ZUEC-OPH - Coleção de Ophiuroidea do Museu de Zoologia da UNICAMP	0.280373831775701	0.02	30	227	2018-09-13	1000
08502f36-77c5-4fca-aeda-3c306b5179f9	US	10267	Bruce Bennett Herbarium (BABY)	0.0931034482758621	0.02	27	611	2018-09-13	1000
0865cd98-274f-4889-9ac5-45ac8320055f	GB	4077	Records of amphibians and reptiles for Nottinghamshire	1	0.09	33	33	2018-09-13	1000
088437db-d68c-4d33-967b-0b8a5340296c	MX	24132	Computarización de abejas de la colección entomológica de la Frontera Sur	0.615384615384615	0.04	16	33	2018-09-13	1000
08895e67-911b-439e-9275-cd872452975e	GB	160	Scottish Natural Heritage - Distribution of Scottish wildcats (Felis silvestris) in Scotland (2006-2008) â<U+0080><U+0093> database extract (breeding and non-breeding records)	0.176470588235294	0.04	18	159	2018-09-13	1000
08a179fe-9cd1-4d33-afef-266dd55c59cf	BR	25563	HUEM - Herbário da Universidade Estadual de Maringá	0.29	0.02	29	248	2018-09-13	1000
08a2981f-1e9e-4353-8599-65c448bac864	MX	4296	Diversidad de hemíptera: heteróptera de Baja California e islas del Golfo de California	0.168674698795181	0.02	28	219	2018-09-13	1000
08a41903-7411-479a-929d-4a0c9bc40b31	NO	39125	Ims fish tag database	0.197802197802198	0.02	18	133	2018-09-13	1000
08b4e00f-720d-4ae9-9d45-6277f9576c02	DE	2147	Bryophyte diversity in grassland	0.548387096774194	0.02	17	194	2018-09-13	1000
09010edb-5e55-4dc0-8a97-a26a3bb89e85	BR	73524	HUFU - Herbarium Uberlandense	0.213793103448276	0.02	31	448	2018-09-13	1000
0923383b-1fc2-4900-a0eb-4e712d5a65d8	MX	454	Copépodos pelágicos del Pacífico norte mexicano	0.0631578947368421	0.02	6	119	2018-09-13	1000
0942f921-ab86-4856-a98e-f230133365e5	DE	1655	InsectScale2008FlowerCover	0.37037037037037	0.02	10	78	2018-09-13	1000
0943f690-fde5-11dd-83f4-b8a03c50a862	SE	1030627	Phanerogamic Botanical Collections (S)	0.10126582278481	0.09	8	114	2018-09-13	1000
0957a821-ac00-47de-93a8-87a8492d1a81	IE	4164	National Lesser Horseshoe Bat Database	0.291044776119403	0.03	39	218	2018-09-13	1000
0991f9af-8ff9-4e34-a8b9-990bb522dc0c	JP	20043	Mollusca collection of National Museum of Nature and Science	0.309677419354839	0.02	48	239	2018-09-13	1000
09baff40-d4a3-11dc-8719-b8a03c50a862	BE	90189	African Rodentia	0.5	0.02	6	83	2018-09-13	1000
09c38deb-8674-446e-8be8-3347f6c094ef	NO	177814	Jordal	0.259259259259259	0.02	7	456	2018-09-13	1000
09c4287e-e6d5-4552-a07f-bff8a00833d8	US	282348	MVZ Herp Collection (Arctos)	0.138157894736842	0.03	21	241	2018-09-13	1000
09d5405e-ca86-45f2-afa7-93cc707f54aa	CO	7527	Fauna y flora en áreas con cultivos de palma de aceite en el norte y oriente de Colombia	0.454545454545455	0.02	5	543	2018-09-13	1000
09df25be-0af9-473b-bd8a-ecf4d26d2efc	DE	22	DGGE profiles of selected Gammaproteobacteria from leaf samples	0.3125	0.04	5	21	2018-09-13	1000
09efcc43-c674-4a70-b326-cd83f7463d1d	RU	10894	Occurrences of the invasive plant species Heracleum sosnowskyi Manden. in the Komi Republic territory (European North-East Russia)	0.666666666666667	0.04	2	883	2018-09-13	1000
0a0d4ca1-5bfd-4594-9d51-40b972308bf5	GB	9057	NE Scotland other invertebrate records 1800-2010	0.548192771084337	0.02	91	255	2018-09-13	1000
0a147ef3-8436-44a2-8f06-7820daf54d30	AU	14379	CSIRO, South East Fishery Habitat Ecosystem Study, Southeast Australia, 1993-1997	0.242424242424242	0.07	8	58	2018-09-13	1000
0a1bd4da-25af-45f4-8517-4450e3926ef5	FR	264	DREAL_PACA_-_N2000_-_Naturalia_2017_12_18	0.928571428571429	0.09	26	28	2018-09-13	1000
0a4f3e3b-1910-445a-afa7-9b93abe69ee1	ZA	62283	PRECIS (KwaZulu-Natal Herbarium)	0.684782608695652	0.25	63	92	2018-09-13	1000
0a6a9256-73be-4f7c-83af-a29db0a222c6	AU	3008	Murray-Darling Basin waterbird survey	0.135135135135135	0.04	10	86	2018-09-13	1000
0a7b424e-70e6-4bb9-a87d-080b89b3fdec	FR	712	Herbier G. Garapin (BOUM)	0.2	0.03	6	47	2018-09-13	1000
0a7c5a4e-db9b-4349-a793-ef4b3ef9e025	GB	2199	Back from the Brink vascular plant species abundance and distribution for Great Britain for the period 2002-2009	0.195488721804511	0.02	26	489	2018-09-13	1000
0a8ca827-8c09-429e-b558-803ec6045d94	CO	799	Análisis de integridad biológica en el Parque Natural Regional (PNR) Nima	1	0.02	1	183	2018-09-13	1000
